segment,s_m,last_obs,forecast_60min,p05,p50,p95
seg_1,1035.9131873482972,98.0,97.19211957874572,70.32103300360158,92.4537282614146,97.08192443183104
seg_2,4131.059747707905,98.0,97.202504905078,70.17992478725515,92.46360727365129,97.0922979834169
seg_3,7349.195260936845,98.0,97.19356105725308,70.06458340039032,92.40385716515175,97.08336427600902
seg_4,10588.276315189936,98.0,97.25752217294553,66.7560836020083,90.73614577205282,97.5319327043421
seg_5,13857.346913677786,98.0,97.04022947135977,62.795951919557766,89.12449536894785,97.62041295862834
seg_6,17107.63089093233,98.0,97.05751250150689,62.77047938565417,89.16049309699763,97.806731145532
seg_7,20288.335000170802,98.0,97.06966417527798,61.9256421409179,88.76258346071313,97.74334726006484
seg_8,23000.03255068694,98.0,97.06947067161167,60.17658785911953,88.11980559084769,97.85442580712072
seg_9,25583.59582255399,98.0,97.09195368869425,57.46132823944002,87.61485621599994,98.13107159771428
seg_10,28608.62242187957,98.0,97.09223423221908,57.45840044553091,87.61457488027453,98.19269707671738
