segment,s_m,last_obs_mmh,forecast_mmh,change_mmh,p05_mmh,p50_mmh,p95_mmh,uncertainty_mmh,current_category,forecast_category,worst_case_category
seg_1,1035.9132,0.0000,0.0000,0.0000,0.0000,0.0000,1.6215,1.6215,SIN LLUVIA,SIN LLUVIA,FUERTE
seg_2,4131.0597,0.0000,0.0000,0.0000,0.0000,0.0330,1.6215,1.6215,SIN LLUVIA,SIN LLUVIA,FUERTE
seg_3,7349.1953,0.0000,0.0000,0.0000,0.0000,0.0240,1.6229,1.6229,SIN LLUVIA,SIN LLUVIA,FUERTE
seg_4,10588.2763,0.0000,0.0000,0.0000,0.0000,0.0240,1.6258,1.6258,SIN LLUVIA,SIN LLUVIA,FUERTE
seg_5,13857.3469,0.0000,0.0000,0.0000,0.0000,0.0669,1.6258,1.6258,SIN LLUVIA,SIN LLUVIA,FUERTE
seg_6,17107.6309,0.1400,0.0420,-0.0980,0.0000,0.0420,1.7168,1.7168,TRACE,SIN LLUVIA,EXTREMA
seg_7,20288.3350,0.1200,0.0360,-0.0840,0.0000,0.0491,1.7812,1.7812,TRACE,SIN LLUVIA,EXTREMA
seg_8,23000.0326,0.1200,0.0360,-0.0840,0.0000,0.0698,1.8440,1.8440,TRACE,SIN LLUVIA,EXTREMA
seg_9,25583.5958,0.1800,0.0613,-0.1187,0.0000,0.0894,1.8844,1.8844,TRACE,SIN LLUVIA,EXTREMA
seg_10,28608.6224,0.1800,0.1439,-0.0361,0.0000,0.1062,2.0751,2.0751,TRACE,TRACE,EXTREMA
