segment,s_m,last_obs,forecast_60min,p05,p50,p95
seg_1,1035.9131873482972,21.3825,21.263589455700174,19.91927382317214,22.63840121403084,29.410198540356863
seg_2,4131.059747707905,21.3825,21.26204687898475,19.79360612118677,22.488992724627156,29.26490513011008
seg_3,7349.195260936845,20.555833333333336,20.771646087504323,19.405290181079444,22.269266758395418,29.04255266847008
seg_4,10588.276315189936,18.9025,19.777697637837704,18.46440193569421,21.722712558934447,28.49529891274553
seg_5,13857.346913677786,18.9025,19.788090628491286,18.413356655683646,21.318291139216498,28.0959657490662
seg_6,17107.63089093233,18.995,19.689510052683264,18.31384215062633,21.27905110503903,28.064927801395033
seg_7,20288.335000170802,19.355,19.43138737229732,18.109538181213324,21.146627562179663,27.93183118765418
seg_8,23000.03255068694,19.355,19.067125930416356,17.744960493415466,20.89063765739122,27.67706735034935
seg_9,25583.59582255399,20.8475,19.95700863740167,18.586842767649312,21.49870007236826,28.2950692587144
seg_10,28608.62242187957,20.8475,19.98740445081171,18.656719262481914,21.916033160436534,28.71550914405104
