Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Acacoyagua,Acala,347.113,347.931,0.818,284.9
Acacoyagua,Acapetahua,33.39,33.572,0.182,58.0
Acacoyagua,Aldama,388.588,390.375,1.787,334.7
Acacoyagua,Altamirano,350.59,354.612,4.022,425.0
Acacoyagua,Amatenango de la Frontera,146.018,149.691,3.673,151.1
Acacoyagua,Amatenango del Valle,301.39,304.683,3.293,293.3
Acacoyagua,Amatán,480.528,483.865,3.337,426.0
Acacoyagua,Arriaga,171.963,172.228,0.265,138.3
Acacoyagua,Bejucal de Ocampo,144.439,148.132,3.693,170.3
Acacoyagua,Bella Vista,179.142,182.828,3.686,182.1
Acacoyagua,Benemérito de las Américas,456.412,592.791,136.379,449.5
Acacoyagua,Berriozábal,293.398,294.183,0.785,242.7
Acacoyagua,Bochil,375.33,376.704,1.374,302.7
Acacoyagua,Cacahoatán,124.406,125.051,0.645,128.9
Acacoyagua,Capitán Luis Ángel Vidal,210.197,221.294,11.097,265.9
Acacoyagua,Catazajá,606.447,601.002,-5.445,487.0
Acacoyagua,Chalchihuitán,412.25,414.386,2.136,348.8
Acacoyagua,Chamula,370.411,371.802,1.391,302.2
Acacoyagua,Chanal,411.284,412.747,1.462,358.0
Acacoyagua,Chapultenango,425.973,428.619,2.646,379.6
Acacoyagua,Chenalhó,406.353,408.21,1.856,336.8
Acacoyagua,Chiapa de Corzo,320.52,321.279,0.758,256.6
Acacoyagua,Chiapilla,362.188,363.16,0.971,300.9
Acacoyagua,Chicoasén,338.637,340.049,1.413,282.4
Acacoyagua,Chicomuselo,215.303,218.805,3.502,232.1
Acacoyagua,Chilón,489.39,491.546,2.155,406.8
Acacoyagua,Cintalapa de Figueroa,236.307,236.874,0.567,193.9
Acacoyagua,Coapilla,364.775,366.472,1.697,315.4
Acacoyagua,Comitán de Domínguez,257.076,260.294,3.218,252.4
Acacoyagua,Copainalá,345.904,347.242,1.338,287.2
Acacoyagua,El Bosque,397.155,398.948,1.793,330.8
Acacoyagua,El Parral,344.706,345.504,0.798,289.8
Acacoyagua,El Porvenir,126.689,130.429,3.74,136.8
Acacoyagua,Emiliano Zapata,339.07,339.875,0.805,280.9
Acacoyagua,Escuintla,38.566,38.841,0.275,53.9
Acacoyagua,Francisco León,405.817,407.93,2.113,349.4
Acacoyagua,Frontera Comalapa,184.299,187.331,3.032,191.3
Acacoyagua,Frontera Hidalgo,124.686,125.006,0.32,123.7
Acacoyagua,Honduras de la Sierra,167.712,175.507,7.796,204.0
Acacoyagua,Huehuetán,72.808,73.057,0.248,78.2
Acacoyagua,Huitiupán,440.085,442.447,2.361,376.7
Acacoyagua,Huixtla,55.559,55.78,0.221,63.0
Acacoyagua,Huixtán,384.65,386.024,1.374,306.6
Acacoyagua,Ixhuatán,459.238,461.825,2.586,385.9
Acacoyagua,Ixtacomitán,470.784,472.755,1.97,401.3
Acacoyagua,Ixtapa,342.398,343.45,1.052,273.0
Acacoyagua,Ixtapangajoya,501.34,503.564,2.224,453.5
Acacoyagua,Jiquipilas,241.235,241.824,0.589,200.7
Acacoyagua,Jitotol,400.936,402.768,1.832,330.4
Acacoyagua,Juárez,454.859,456.173,1.314,379.8
Acacoyagua,La Concordia,255.101,258.362,3.261,287.1
Acacoyagua,La Grandeza,147.793,152.397,4.603,160.5
Acacoyagua,La Independencia,266.936,270.148,3.212,263.2
Acacoyagua,La Libertad,640.756,635.335,-5.421,510.5
