Lista de municipios del estado de Chiapas,,,,,,,,
1,Acacoyagua,,43,Huitiupán,,85,Reforma,
2,Acala,,44,Huixtán,,86,Rincón Chamula San Pedro,
3,Acapetahua,,45,Huixtla,,87,Sabanilla,
4,Aldama,,46,Ixhuatán,,88,Salto de Agua,
5,Altamirano,,47,Ixtacomitán,,89,San Andrés Duraznal,
6,Amatán,,48,Ixtapa,,90,San Cristóbal de las Casas,
7,Amatenango de la Frontera,,49,Ixtapangajoya,,91,San Fernando,
8,Amatenango del Valle,,50,Jiquipilas,,92,San Juan Cancuc,
9,Ángel Albino Corzo,,51,Jitotol,,93,San Lucas,
10,Arriaga,,52,Juárez,,94,Santiago el Pinar,
11,Bejucal de Ocampo,,53,La Concordia,,95,Siltepec,
12,Bella Vista,,54,La Grandeza,,96,Simojovel,
13,Benemérito de las Américas,,55,La Independencia,,97,Sitalá,
14,Berriozábal,,56,La Libertad,,98,Socoltenango,
15,Bochil,,57,La Trinitaria,,99,Solosuchiapa,
16,Cacahoatán,,58,Larráinzar,,100,Soyaló,
17,Capitán Luis Ángel Vidal,,59,Las Margaritas,,101,Suchiapa,
18,Catazajá,,60,Las Rosas,,102,Suchiate,
19,Chalchihuitán,,61,Mapastepec,,103,Sunuapa,
20,Chamula,,62,Maravilla Tenejapa,,104,Tapachula,
21,Chanal,,63, Marqués de Comillas,,105,Tapalapa,
22,Chapultenango,,64,Mazapa de Madero,,106,Tapilula,
23,Chenalhó,,65,Mazatán,,107,Tecpatán,
24,Chiapa de Corzo,,66,Metapa,,108,Tenejapa,
25,Chiapilla,,67,Mezcalapa,,109,Teopisca,
26,Chicoasén,,68,Mitontic,,110,Tila,
27,Chicomuselo,,69,Montecristo de Guerrero,,111,Tonalá,
28,Chilón,,70,Motozintla,,112,Totolapa,
29,Cintalapa de Figueroa,,71,Nicolás Ruíz,,113,Tumbalá,
30,Coapilla,,72,Ocosingo,,114,Tuxtla Chico,
31,Comitán de Domínguez,,73,Ocotepec,,115,Tuxtla Gutiérrez,
32,Copainalá,,74,Ocozocoautla de Espinosa,,116,Tuzantán,
33,El Bosque,,75,Ostuacán,,117,Tzimol,
34,El Parral,,76,Osumacinta,,118,Unión Juárez,
35,El Porvenir,,77,Oxchuc,,119,Venustiano Carranza,
36,Emiliano Zapata,,78,Palenque,,120,Villa Comaltitlán,
37,Escuintla,,79,Pantelhó,,121,Villa Corzo,
38,Francisco León,,80,Pantepec,,122,Villaflores,
39,Frontera Comalapa,,81,Pichucalco,,123,Yajalón,
40,Frontera Hidalgo,,82,Pijijiapan,,124,Zinacantán,
41,Honduras de la Sierra,,83,Pueblo Nuevo Solistahuacán,,,,
42,Huehuetán,,84,Rayón,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
