Origen,Acacoyagua,Acala,Acapetahua,Aldama,Altamirano,Amatan,Amatenango de la Frontera,Amatenango del Valle,Angel Albino Corzo,Arriaga,Bejucal de Ocampo,Bella Vista,Benemerito de las Americas,Berriozabal,Bochil,Cacahoatan,Capitan Luis Angel Vidal,Catazaja,Chalchihuitan,Chamula,Chanal,Chapultenango,Chenalho,Chiapa de Corzo,Chiapilla,Chicoasen,Chicomuselo,Chilon,Cintalapa de Figueroa,Coapilla,Comitan de Dominguez,Copainala,El Bosque,El Parral,El Porvenir,Emiliano Zapata,Escuintla,Francisco Leon,Frontera Comalapa,Frontera Hidalgo,Honduras de la Sierra,Huehuetan,Huitiupan,Huixtan,Huixtla,Ixhuatan,Ixtacomitan,Ixtapa,Ixtapangajoya,Jiquipilas,Jitotol,Juarez,La Concordia,La Grandeza,La Independencia,La Libertad,La Trinitaria,Larrainzar,Las Margaritas,Las Rosas,Mapastepec,Maravilla Tenejapa,Marques de Comillas,Mazapa de Madero,Mazatan,Metapa,Mezcalapa,Mitontic,Montecristo de Guerrero,Motozintla,Nicolas Ruiz,Ocosingo,Ocotepec,Ocozocoautla de Espinosa,Ostuacan,Osumacinta,Oxchuc,Palenque,Pantelho,Pantepec,Pichucalco,Pijijiapan,Pueblo Nuevo Solistahuacan,Rayon,Reforma,Rincon Chamula San Pedro,Sabanilla,Salto de Agua,San Andres Duraznal,San Cristobal de las Casas,San Fernando,San Juan Cancuc,San Lucas,Santiago el Pinar,Siltepec,Simojovel,Sitala,Socoltenango,Solosuchiapa,Soyalo,Suchiapa,Suchiate,Sunuapa,Tapachula,Tapalapa,Tapilula,Tecpatan,Tenejapa,Teopisca,Tila,Tonala,Totolapa,Tumbala,Tuxtla Chico,Tuxtla Gutierrez,Tuzantan,Tzimol,Union Juarez,Venustiano Carranza,Villa Comaltitlan,Villa Corzo,Villaflores,Yajalon,Zinacantan
Acacoyagua,0.0,0.004927861107261767,0.05107100092072839,0.004392073372809974,0.004835018676499085,0.0035434586980060416,0.011453966122951235,0.005627342657485627,0.006599622946121933,0.009955150398951932,0.011574512211478231,0.009377970786261916,0.0028923442544011185,0.00582819416115375,0.00455146651724084,0.013710851116030208,0.007747863217758699,0.0028528285145651656,0.004137581006382198,0.0046114750402383355,0.004154011156739343,0.00400018581283306,0.004200180404474886,0.005336656435405655,0.00472121280678129,0.00504208406115205,0.007835998459407661,0.0034880878756224105,0.007238260184362545,0.004678544726229271,0.006586996407564883,0.004937639003665148,0.004297692037334925,0.004962476969617409,0.013145509379897825,0.0050446653708295505,0.04414293254320675,0.004203063375850498,0.00915254625721687,0.013715786785519843,0.00976915816982054,0.023468738695959227,0.003875166162072957,0.004441577836897948,0.030737820776455604,0.0037125656751165344,0.0036267319074588184,0.004992155023760937,0.0034048415750742578,0.0070900971074446435,0.004256931143761901,0.003758564498360695,0.006636253175430959,0.011250586579202304,0.006346727138126854,0.002698663922042219,0.007081838710774179,0.00441383869973148,0.006179959641111505,0.005761914603805844,0.049649773923803125,0.0049353649170433495,0.002958032739866662,0.013288656706587097,0.01795421423840468,0.015054223676032501,0.004902834781433296,0.004346842823849419,0.0076622705992451644,0.019966643487448543,0.004457918673017776,0.002863625442449917,0.00439034141615781,0.006535150854023279,0.004268206547384874,0.005349777818755265,0.004158161792985542,0.0029196996151650756,0.003977266046943192,0.004302501977181278,0.003722415274999714,0.025594584826026563,0.00410791065892317,0.0039198175678731555,0.003794221646412355,0.004025515570716454,0.003613051750436088,0.0030619580231781426,0.003971738086702912,0.004803416893108725,0.005621475480115454,0.004114742618928147,0.004580185079180785,0.004353255105700291,0.011017578993128732,0.0038289963484702235,0.003796910402711217,0.006027193176470958,0.003536456898519034,0.005001941906746329,0.0055139803339819765,0.012976572864824702,0.003862942957619841,0.019407280951154477,0.004352691480249637,0.003792727673317702,0.004656790199766132,0.004349290724378052,0.004481982838341978,0.003117135860371923,0.010686851098947204,0.00461992456095487,0.003230092374272934,0.01580964170503175,0.005782240188420697,0.02948504974910909,0.006471364407370184,0.01243882821923181,0.004531282256848089,0.039600786283044476,0.00560730100503216,0.006346609672706553,0.003386000724595833,0.004978514661854385
Acala,0.0026854060080616143,0.0,0.0026159909548662498,0.010155347376216477,0.005267654580035192,0.004535461352767246,0.004415645261705891,0.012792161373091032,0.005345198188526143,0.005261751179104144,0.004237706823130492,0.0043837294322061566,0.0025045012870667416,0.010655873457053676,0.009351686792487114,0.002935974392646173,0.004042337897939007,0.0028857790460519433,0.00807022628210714,0.012692203795048615,0.008184946278606445,0.003943323253288671,0.008520215606228171,0.03234452208853017,0.061826265787280184,0.008365832677136364,0.004718226737879883,0.0048620599953479405,0.007440913055295713,0.006778157718413869,0.007669184180613595,0.007864366544529912,0.007662645715073684,0.014789238861278538,0.0038097772829289393,0.051172113706596065,0.0025783325436919626,0.005146597375629446,0.00461427492031158,0.0020870179417605324,0.004115477896537182,0.0023579109245517493,0.005662625158121439,0.010654309530539252,0.002464280994200525,0.005072788029010911,0.004300291272781743,0.013947711694728792,0.0038020414763813527,0.007498916310893741,0.007432064522299314,0.0036169623744875504,0.0066117121427063255,0.004075066481464722,0.006211764572924914,0.003015876851861345,0.006804990777163575,0.00837667424975186,0.006628662988270232,0.010757174035689963,0.0029280219698020345,0.003525894053035253,0.0025967715528826085,0.003905511659957063,0.0022327281095526215,0.002139611083474569,0.006110251482551051,0.009730035271440816,0.004830330296289891,0.0035461651979612615,0.02103644860741055,0.0031322621170273217,0.005779528685723483,0.00989334326785106,0.004571271384519095,0.010120497179317999,0.008214227081827908,0.003256562950895461,0.007061576319969506,0.005523491387299434,0.004091284421030693,0.003322651601010632,0.0066651796465618425,0.00583921320762695,0.0036773843787950788,0.006285909206411988,0.004748137762456515,0.003595026860250984,0.006053381490433196,0.01586130829569136,0.012136735226115265,0.00791449207874139,0.03570354573914364,0.009788773970801643,0.0037987969044059365,0.00548697684181267,0.006123295122451124,0.009660017820898578,0.004514675295178488,0.010107489942775305,0.017081143929791393,0.0020546655830932124,0.003796306020310895,0.0022711525498637732,0.005078821407305395,0.005353658323511812,0.0054574039518924195,0.009752458182821052,0.02070733578305711,0.0037360839326868894,0.004317347879686554,0.040630133937962054,0.004044052815520485,0.002166339829664012,0.017392162344539257,0.0024491305332277383,0.00816787364529206,0.0029694442919396386,0.02100367499003015,0.002547320786282019,0.007113795574981492,0.00916078046319583,0.004517138800094987,0.020103018936968402
Acapetahua,0.04718452755604652,0.004600933222386588,0.0,0.004119749200308759,0.0047947822796328985,0.003348420867650993,0.011628117325148889,0.0055960175980015745,0.0065853872849921365,0.008907792444011468,0.011755492750815642,0.009450240124055438,0.002848892608224909,0.0053995399170959375,0.004263372212203024,0.014032830882167627,0.007762551517698087,0.0027121811435856106,0.003889636841054931,0.004317336998152483,0.005076986736390411,0.003764974439692288,0.003946336230052182,0.004965074087669179,0.004415877595405827,0.004702924544184598,0.007853302148164454,0.0032976942225659707,0.0066258113287754345,0.0043775854290664775,0.00657249562267733,0.004609660348398068,0.004034534537468229,0.004631867486158307,0.013426784237416351,0.004705240636419559,0.05036702415798616,0.003948945994209987,0.009215687401881233,0.014038132825776919,0.009858104029648351,0.024897753431642324,0.0036512812015026923,0.00416440528114619,0.033522139141257665,0.003503040538762209,0.003424617203028334,0.004658361405291161,0.003221331382177519,0.006498339385871838,0.0039976753338366545,0.0035450121997703957,0.006622793142444946,0.011413325692168337,0.006327399700840162,0.0025690969873487773,0.00707858805327836,0.004139393280720213,0.006157525674216982,0.005732568071302967,0.03343766841886504,0.004896013557722009,0.0029142598526271444,0.013580004499220347,0.018661990712985483,0.015482907832728411,0.004578557066706031,0.004078924378027529,0.007674437878440259,0.020908159938331686,0.005327384789239689,0.0023069736046930655,0.004118186536818986,0.0060180100563240425,0.004007880965612691,0.004976704906949323,0.003908284695009428,0.0027741236354455953,0.0037441496732761145,0.004038881214064015,0.003512032259650324,0.020276546331492118,0.0038627413577217652,0.0036919157606778628,0.003577537752694966,0.003787979242823858,0.0034121072496729864,0.002905655193298348,0.0037391257560476445,0.00448955934747301,0.005217269999308856,0.0038689266492235655,0.004289205396315425,0.00408472399492949,0.011167627817472353,0.0036092315498875527,0.0035799889814671854,0.006002088308911351,0.0033420090505933693,0.004667112542005841,0.005122232401953662,0.013246163439191504,0.0036401520822188344,0.020280481471422782,0.004084205145241094,0.0035761680600350956,0.004358051092777628,0.004081144620741566,0.005260887607054781,0.0029565787770546538,0.009504984104854345,0.004324919835456173,0.003060688504089516,0.016304560191409877,0.005359059635979475,0.03200152609620664,0.006454464061752329,0.012672591721416345,0.005569417650257516,0.06595856775212074,0.005204732037580612,0.005853813362188999,0.0032040344666026148,0.004646193207789976
Aldama,0.0022308092196406944,0.009498027353097861,0.002179135611822075,0.0,0.005570167388736092,0.00593977197401907,0.0036016175946711033,0.011302234048633366,0.003491638848083841,0.0039663290880874265,0.003473637787765543,0.0035787556853200744,0.0023152420854483965,0.0067282034159360715,0.019274438686707925,0.0024972865327963258,0.0028468591570533232,0.002872842077229074,0.014319988285970265,0.044134265854345454,0.00936849819398781,0.0049026014876008,0.01592551152558454,0.008445881333874,0.012298394840768032,0.008416709544333812,0.0031207220111445977,0.0066393461166035315,0.00520164128305262,0.0060385528400205436,0.007112912216412676,0.007873352441522015,0.013974620507954196,0.0063338469375163325,0.0031605910138197534,0.007163385177577285,0.0021509827441811118,0.005018947430254905,0.003742994297068453,0.0021935039341161905,0.003003707490932707,0.0025209615425573644,0.008254670026411205,0.013109821304124941,0.0026150471804415503,0.006981638194273268,0.005514875762312581,0.017571845252520323,0.004670507761777066,0.005232075114581852,0.013172815219935498,0.004265195122408933,0.004034755903814301,0.003355544599563274,0.005763690851665032,0.0030119888152540714,0.006231534997810898,0.04184387323571784,0.00614975781384254,0.009352318231008459,0.0024092055859269556,0.003252110481508154,0.0024000503463236207,0.0032312793608095525,0.0023682440504469854,0.0022562028763613616,0.004469642851107273,0.02086520793423139,0.003248317265794622,0.0029639557475693032,0.008338150388621087,0.003137228040063315,0.005886483854731794,0.006393487420008778,0.003533521581147815,0.009709216101145779,0.009409900590889168,0.003271771432358396,0.011252075347427334,0.007940987783210448,0.005151788224162416,0.002692235320217233,0.01080285696114603,0.008665634099085532,0.0038878603190339684,0.009774557960387576,0.006339843338152404,0.0036423972263887484,0.00918439635649341,0.02520273507201863,0.00733621122761375,0.010971881713299039,0.012846991321473598,0.11593191520904249,0.003153818895037064,0.008475419805487843,0.007639280727886312,0.006185662224824424,0.005901492111583078,0.013575623682866364,0.007359598674374991,0.002155130884983171,0.0045821957930666886,0.0024148626171617694,0.006993995076033041,0.007569671522265098,0.004085090303832549,0.014556413274264502,0.013829005649581068,0.004601954614964431,0.003368765297615768,0.011063344040997106,0.005118453141570004,0.002288229377759873,0.009130197874616993,0.002676530018662568,0.0063538945315054,0.0025233109333138446,0.007275007690731224,0.002127740579892612,0.0044136486334615845,0.005187277461088031,0.005969723257322677,0.015095446921341236
Altamirano,0.004553043801680247,0.008987056769429883,0.004589487055327501,0.010236667433450362,0.0,0.0069778675957216625,0.007454879290288362,0.015574208312954476,0.004762203553805817,0.005227264850827259,0.0071573776482457534,0.00740153587590061,0.005084620364038905,0.007413160753769758,0.007652265410992095,0.004973582348796289,0.005121037073466608,0.006676598872897742,0.01159081797417519,0.011607954880054576,0.02418592850006713,0.00461524185599986,0.013405358674489998,0.008444524225953017,0.010182848183562996,0.006668576641533532,0.006350794821092624,0.0148832182121097,0.006302401465641133,0.0060105571530776015,0.01707276721748504,0.006475562196314492,0.006920352505187434,0.007146001145019857,0.0064408894540512835,0.007693856792024433,0.005277087010058975,0.005160013156964224,0.007786689746413708,0.004323582067135604,0.006087739741792117,0.005024807090277784,0.008505078122458081,0.017835189254501373,0.005229200931456629,0.005447607162927075,0.004894034067850418,0.009089271807710584,0.006074482598925755,0.00632670454914727,0.006808523800816291,0.004826422763470846,0.00529173045198803,0.006885241695124367,0.015126035974418426,0.007091593564890431,0.01423040046589363,0.009622979049444966,0.018115015181869993,0.010209460214490302,0.003569878151547206,0.007000295686280677,0.005236874418864994,0.00660132060740302,0.0046958316208967074,0.004456649066842682,0.005687322821694737,0.013536365947536351,0.0056006798893921805,0.005998863157028737,0.009520463417036664,0.00812382828621886,0.005515087185590424,0.0071871973916851255,0.00480453791655413,0.007256574573798652,0.023441269190573502,0.007896213469396205,0.011936464849887399,0.005742659725387097,0.0058624945687507455,0.0039011112740567587,0.006412226783904572,0.005938394896171193,0.004807364967917967,0.006201145001113344,0.00907343862477291,0.009116403193961864,0.00835032962325726,0.01314125087889128,0.007801447272495333,0.015731302133610594,0.010382939501554486,0.010014939853736339,0.00642558969628265,0.009289191092851265,0.014102718759749815,0.007825723904029636,0.00505418759014463,0.00793702157908892,0.007815843323365289,0.004242439615832019,0.004267659891695017,0.004795890893605385,0.0054516850722960645,0.005633712591205069,0.005338754403827737,0.015162943690297106,0.012645058522300441,0.00965866719412119,0.004636487460012927,0.009210306059479069,0.01091905174178251,0.0045248323996749185,0.008804132025763993,0.005363483625952538,0.01460593478736755,0.005029879195138465,0.008726798949715706,0.004925365183378217,0.005637718516694107,0.006290897586415138,0.013089417737951296,0.010936041582711397
Amatan,0.002794922651694607,0.0065462070191348596,0.0027424407554732712,0.009221543610152353,0.0059043190810506565,0.0,0.0037899563025909134,0.007041600048856857,0.003944197306490409,0.004320387411859802,0.003697624745085848,0.003773617930543395,0.003157146099259495,0.00606784717712983,0.012674709719252693,0.002315879272361504,0.0033862121447971404,0.008155253455380254,0.013177979990424863,0.009388719167938436,0.006552536999077929,0.011909672153633831,0.01231531904600746,0.006880671956728784,0.006243523638577945,0.009705978407125532,0.0034315643428877826,0.010144714482506837,0.005184119572384086,0.012897586817388694,0.005695520924005339,0.011167728375411665,0.014336006650426095,0.00585608677978706,0.0034624889248889294,0.0062897988716195076,0.0027136517524537188,0.009317938469986884,0.003889525666079355,0.002316056480896347,0.0034215045928641698,0.002540469122582181,0.02074303117205021,0.0075191956401866634,0.002625061009918462,0.028121186246522822,0.01440103252114964,0.009501898607208714,0.018148321219575127,0.00520354858321299,0.01415793164369811,0.011347765986689212,0.004372410695805377,0.0036105078804025306,0.005081990395501494,0.006764620911205584,0.005308313934596836,0.011621980748919186,0.005269866346244421,0.006497956490326569,0.002972538101115715,0.003532643747293769,0.0032259622605789306,0.0035167819670806426,0.0024384146511696315,0.0023606695180567873,0.006141555695162384,0.01104161658817028,0.003740363576037097,0.003307663825021572,0.006162535034455246,0.004079739696487816,0.012454847391164267,0.005888773069358455,0.009393186780022158,0.008140436267550805,0.0081843125058606,0.0059690063669285845,0.013369287643678607,0.019237446058731855,0.016093790243056207,0.0032435082331390944,0.017204113374388444,0.020201857789005562,0.01024266913211458,0.015528303986254566,0.021090563104478606,0.00873024809057035,0.018084946435594086,0.009043013536475032,0.00637472693504911,0.008976443664327075,0.007398583651194664,0.009187580731406842,0.0034572596146142144,0.015082437195902123,0.009989949214844529,0.0052868030984129805,0.02316607969810924,0.009620013813965694,0.006386084543849201,0.002288347587410738,0.012873936954511223,0.0024700318369518036,0.015882108860195112,0.02564534005856288,0.007605307081557707,0.009686444136788179,0.0075987305553249585,0.011830125383034837,0.003842236133334648,0.0060236499504695935,0.00999992405511015,0.0023831472070783765,0.007162349374502192,0.0026131251143446757,0.005364998230837504,0.002266595979601934,0.005340177512674943,0.0026897777476407696,0.0046511099966204976,0.0051749213754087465,0.011097302817001662,0.0072939072703484716
Amatenango de la Frontera,0.009515872086561458,0.006636181194976236,0.009698625564884324,0.005814331752555689,0.006554769584942553,0.003940033793361346,0.0,0.008521397406810299,0.009421917826433023,0.004706690196484043,0.04982592208247723,0.031827574235024955,0.0031198890747281775,0.004668109879638091,0.004774741631734853,0.011903546961816716,0.010029250394065407,0.0031112026943886113,0.005289064307678228,0.006293642394468617,0.0071998098177628615,0.0032569178388987055,0.0054137727681021555,0.00620912309897628,0.006833263826153989,0.00432311248713413,0.01760847541930291,0.0043921110024323145,0.003875193664528644,0.004000828755571643,0.01162132536585753,0.0042303457628317396,0.004442039959738817,0.007130767123433227,0.02510082030777254,0.006515376999656791,0.014107661889324106,0.0035577800531574953,0.02890549436314774,0.00845186669647156,0.015500647578974257,0.012242473819108191,0.004452416700317129,0.00652455020919896,0.013726255626008401,0.003711092990152841,0.0034126276203761997,0.005376762150284003,0.0031917264082471325,0.003823483038808724,0.004389500648397178,0.002978311831513013,0.011808290038782088,0.03796845192426106,0.01075303503698456,0.0032105799516556183,0.013656985182623076,0.005584726158231306,0.010189672277277347,0.008902066257783104,0.008668397085772196,0.006780722627982259,0.0032129441275422946,0.03605139936104392,0.010255702597598173,0.009051452095026342,0.003836112240448042,0.005771428453556567,0.012387383642431117,0.022219456948719865,0.007813914393930371,0.002393806929100194,0.0037465375829728318,0.004565519343163699,0.0033630553545497066,0.004597223413530255,0.005819987369094738,0.003387971756186915,0.00497888341245208,0.003864621978217376,0.0033229735728249094,0.007233340351184699,0.0041995763317004536,0.00396443236769987,0.0030053720722777186,0.004095947633835543,0.00404477559768988,0.003624212800540041,0.004028836625623773,0.006780495670125191,0.004840291713630893,0.005323354214876763,0.006416032063141591,0.005732535099395645,0.02117813767536817,0.004569123460523473,0.004809641162373749,0.009699620663132383,0.0035004140685133394,0.004899222791593862,0.005572896250274319,0.008107751529258444,0.0030574641168510906,0.010814952390327122,0.003713240607787346,0.0038083677788835818,0.0036534952940667446,0.005935853586166733,0.007646801132786364,0.0037184011455539323,0.004898410459970437,0.006536128425098762,0.00391592288384693,0.009377182984514934,0.005262331540192829,0.014832493854517613,0.011194626614147577,0.012276814559133742,0.00844889561641167,0.011595098346380549,0.0068442795275152485,0.0062575105022496386,0.004199340039229994,0.0060643784531941814
Amatenango del Valle,0.003365694659236996,0.013839404173087409,0.003397119104881495,0.013186543110701027,0.009886206975479997,0.005280055471756839,0.006156331640157661,0.0,0.003956565515498191,0.00447802875984644,0.0058405086244440905,0.006099146172656316,0.003391041706520023,0.007437812028522999,0.007824170421764472,0.00373331058178219,0.0038648913885583258,0.0035306198269869572,0.010046118188713801,0.017344540763500633,0.022123866905023923,0.0037982652393582002,0.010695645799168837,0.009217113596106353,0.016973969092954174,0.006322043573097564,0.00502081278926136,0.006530268986046958,0.0058172966364930705,0.005433630842444542,0.02234841573352885,0.006052643520838422,0.006685338517994586,0.00702277392700081,0.005109831621223968,0.010251451643294383,0.0040057406418797774,0.004400626159936618,0.00651768794407837,0.00316979921528807,0.004764388217150661,0.0037788502103577523,0.006718044277183093,0.02006008469643252,0.003962350439113136,0.00473655742752238,0.004101156766514149,0.010497505021001632,0.0036767220639057603,0.0058499726515428545,0.006522264826033419,0.0032987858917388454,0.004552881083024759,0.005558107332655151,0.013698015360443044,0.003711556557830512,0.01617606354772015,0.011675677660408033,0.015710422156384626,0.03704827115618105,0.0027530757431832088,0.005317595057949768,0.0035487451282359608,0.0052698696752187255,0.0034892614373085505,0.0032830023286215264,0.005026766185517224,0.012885034728270251,0.004303025163620916,0.004678922566033783,0.022778921200258737,0.003875241040626927,0.004817291917778659,0.00708570122321401,0.004002743143544457,0.007192499533073361,0.013227003102897449,0.004051970991473146,0.00862890976228446,0.005095128059774312,0.003924542884535475,0.003069721846838443,0.005965841427543749,0.005341196936863207,0.0033450879381128873,0.0056823778555601554,0.005547243284615996,0.004543607711759731,0.0055057805818662185,0.023911816267793314,0.008072821739234222,0.010219663242447935,0.013574619654469666,0.012619723238602314,0.005094645325989852,0.0070977121377887725,0.007955523684622849,0.013514824314113058,0.004280202990687036,0.008304047447648656,0.00809719817141004,0.0031012821036856854,0.003435512440562514,0.003576597715701015,0.004741437326486594,0.0049610574617558745,0.004607870892655338,0.014095056545133542,0.053676587878218184,0.00475312829403256,0.003820964941111811,0.0202132787352657,0.005220271281942043,0.0033414339097334344,0.009913353971667312,0.004084400755067142,0.016901802767238037,0.0037833840917554356,0.016963823097182407,0.0036905744348583267,0.004965928383060032,0.005801869295970952,0.005965179616719437,0.015153288546549468
Angel Albino Corzo,0.006999084178177025,0.010271203101628892,0.00707573283058592,0.007205209476187554,0.005366792294629241,0.005253859889369154,0.012050268345913929,0.0070279145618887,0.0,0.007857129745091007,0.011592887472003542,0.012910199156256873,0.003226246484788112,0.008664922925402382,0.007619013899580835,0.007578802225078235,0.019815546267400758,0.0037332473341679345,0.006577752627347453,0.007779245286783457,0.006617111195039903,0.005583842684197776,0.006728490453095656,0.01224099248567519,0.009453957160275658,0.007765488855411117,0.012324257187212027,0.0051395018382068836,0.007883221933427461,0.006976227190681075,0.007897295866677647,0.0075334699418059085,0.006967891686690058,0.016083623951740567,0.01401867227064474,0.010762278733845177,0.008890075770292792,0.005963716287651002,0.011574686882826738,0.006526576417115432,0.02075622797122985,0.008027218715344708,0.005970155398803498,0.007331976421693571,0.008498133634170454,0.005612179958813476,0.005086201378849408,0.008856214933907532,0.004706602985086175,0.009741417824179664,0.006867108489692061,0.004827535994607523,0.02444058011037007,0.013313056504955751,0.00757237862638721,0.003844896518274585,0.008576538375949313,0.007260736898518024,0.007348702324866679,0.007259661552413386,0.0066265160641816095,0.005725571290878996,0.003303607713242976,0.010555390130834542,0.007301984441613205,0.006798481422906243,0.006736638019724097,0.007090782048488594,0.03393656090097903,0.010427639844934751,0.008504669066035121,0.003942065036787905,0.006385351203460614,0.008991491019950431,0.0056461447796041985,0.008475219692560605,0.006627048757893104,0.004043127178118437,0.006202039790135357,0.005888778200252358,0.004931163861187799,0.005924016618226758,0.006507140583284437,0.0060708960131956955,0.004883259480155094,0.006313597442273772,0.005399627511060794,0.004304952367057738,0.006189340494256897,0.00830869099453973,0.009136575707521407,0.006523336873820229,0.008933867736925926,0.007106925690242763,0.017030581236983856,0.0058671181249619776,0.005796165865044827,0.006981195076273906,0.00523931975673064,0.00786844698440366,0.011110116806153576,0.006363507040799569,0.004991297026833227,0.007518448285501593,0.006310302348465503,0.005786955650014269,0.006303985400161008,0.007096969636863569,0.007436568193791734,0.004408678342040118,0.0067156593794369486,0.009077220272521768,0.0046249395951735005,0.006940055208836836,0.010363288616790976,0.008816477991687917,0.007740499296515745,0.006238455992453612,0.00876043437862936,0.007803848003984982,0.01497797193480821,0.012906983458610563,0.004932344004998931,0.008815706601289672
Arriaga,0.009933881295364684,0.009692098356411891,0.00943484053490248,0.007848540847047607,0.005661026310701609,0.005531152878006131,0.005804042541675348,0.007631371321670675,0.007560017459552971,0.0,0.005834166393312778,0.005229720002180498,0.0032995465225701243,0.013795705330651397,0.0083608159938998,0.006320139892928248,0.0060691828549008986,0.004037484276338402,0.007086074871981401,0.008561165612126175,0.007133380600503453,0.006700193602554873,0.007267686159545027,0.011369055423551886,0.008938789554164897,0.010134152352299022,0.006338806181312853,0.005400152337609704,0.025148600706647182,0.008790151450835955,0.006363704891299952,0.009729196112430089,0.007558157740869969,0.009824049075331118,0.0061997918607276355,0.010144425098675287,0.00917442011509232,0.007276140679078844,0.005160315645186127,0.006321143603903166,0.006157698706841496,0.007779925211943615,0.006363566153279495,0.008004659325969447,0.008426670730594586,0.005944972163285809,0.0057322896599236155,0.009938560307636712,0.005207173346961466,0.02347996198597902,0.0074355755015654,0.006061242912355603,0.008852399990953127,0.005752454949975704,0.005759492378912518,0.0037413445943392503,0.005984381988697051,0.007916838390751997,0.005946344758472921,0.0071286767557289694,0.01189927506376727,0.004153776142160995,0.003384925857739927,0.006230804605924408,0.0070746821004823435,0.006585333716661854,0.009597817760686373,0.007708221778902488,0.006992008801717549,0.0073608831622424195,0.00805676604090758,0.004058677510852126,0.00784312791481277,0.01841095206898578,0.007469317498732041,0.011427437781295369,0.007145342328071004,0.004169807701910717,0.0066374966538572736,0.0075727337000531985,0.005969715185740105,0.016082236630702157,0.0070012888812007665,0.006482277537597311,0.0061525285511387735,0.006770074161764468,0.005698881925775937,0.0044594935923746885,0.0066224372747149905,0.009231581912446383,0.012712397231591503,0.00702071110001645,0.008456128496913205,0.007728017847543037,0.005692195249504189,0.006242531214413995,0.006159452907386824,0.006636063069266807,0.005514468175996509,0.009976663161011059,0.012186425566659496,0.006162769125724733,0.006331335605867435,0.007285130033279131,0.007726244991045225,0.006148683612308449,0.008715306470381408,0.007715794873579507,0.008133999993545105,0.004574951358282902,0.04029643599112315,0.008589676657217984,0.00481700521936624,0.006722904728235989,0.013546117944790643,0.00833166067054963,0.00604033760531632,0.006041316924672387,0.008294332406381352,0.00896519222005049,0.01264155716242017,0.017016852459848256,0.005164150150267015,0.009885769630214066
