municipios ,poblacion
Acacoyagua,17994
Acala,21187
Acapetahua,26899
Aldama,8480
Altamirano,36160
Amatan,24512
Amatenango de la Frontera,31735
Amatenango del Valle,11283
Angel Albino Corzo,31947
Arriaga,41135
Bejucal de Ocampo,7365
Bella Vista,20157
Benemerito de las Americas,23603
Berriozabal,64632
Bochil,37263
Cacahoatan,50112
Capitan Luis Angel Vidal,4315
Catazaja,17619
Chalchihuitan,21915
Chamula,101967
Chanal,13678
Chapultenango,7472
Chenalho,47371
Chiapa de Corzo,112075
Chiapilla,6156
Chicoasen,5402
Chicomuselo,36785
Chilon,137262
Cintalapa de Figueroa,88106
Coapilla,9900
Comitan de Dominguez,116178
Copainala,22192
El Bosque,24273
El Parral,15587
El Porvenir,12263
Emiliano Zapata,10783
Escuintla,30896
Francisco Leon,7245
Frontera Comalapa,80897
Frontera Hidalgo,14556
Honduras de la Sierra,11650
Huehuetan,36333
Huitiupan,27893
Huixtan,22975
Huixtla,53242
Ixhuatan,11377
Ixtacomitan,10961
Ixtapa,28999
Ixtapangajoya,6284
Jiquipilas,41063
Jitotol,24966
Juarez,21807
La Concordia,49920
La Grandeza,7701
La Independencia,46409
La Libertad,5232
La Trinitaria,83111
Larrainzar,31259
Las Margaritas,141027
Las Rosas,28829
Mapastepec,46130
Maravilla Tenejapa,14714
Marques de Comillas,12892
Mazapa de Madero,7901
Mazatan,28250
Metapa,5876
Mezcalapa,23847
Mitontic,13755
Montecristo de Guerrero,8412
Motozintla,76398
Nicolas Ruiz,4765
Ocosingo,234661
Ocotepec,14088
Ocozocoautla de Espinosa,97397
Ostuacan,18469
Osumacinta,3983
Oxchuc,54932
Palenque,132265
Pantelho,26391
Pantepec,12266
Pichucalco,31919
Pijijiapan,51193
Pueblo Nuevo Solistahuacan,29636
Rayon,10866
Reforma,44829
Rincon Chamula San Pedro,8718
Sabanilla,29889
Salto de Agua,64251
San Andres Duraznal,6047
San Cristobal de las Casas,215874
San Fernando,41793
San Juan Cancuc,37948
San Lucas,7526
Santiago el Pinar,4959
Siltepec,25937
Simojovel,52935
Sitala,15518
Socoltenango,19092
Solosuchiapa,8561
Soyalo,10890
Suchiapa,25627
Suchiate,41672
Sunuapa,2308
Tapachula,353706
Tapalapa,4547
Tapilula,13592
Tecpatan,21426
Tenejapa,48162
Teopisca,49499
Tila,83505
Tonala,91913
Totolapa,7211
Tumbala,38025
Tuxtla Chico,41024
Tuxtla Gutierrez,604147
Tuzantan,30302
Tzimol,16560
Union Juarez,16008
Venustiano Carranza,67292
Villa Comaltitlan,30297
Villa Corzo,65643
Villaflores,109536
Yajalon,40285
Zinacantan,45373
